tiempo,amplitud_original,amplitud_filtrada
1.475000,16.000000,7.552442
1.480000,12.782980,8.075496
1.485000,8.310847,8.099031
1.490000,15.919300,8.881058
1.495000,9.080701,8.901022
1.500000,18.945700,9.905490
1.505000,24.243180,11.339259
1.510000,9.608565,11.166190
1.515000,19.147830,11.964354
1.520000,25.689150,13.336833
1.525000,28.917950,14.894945
1.530000,27.658640,16.171315
1.535000,25.171500,17.071333
1.540000,34.919300,18.856130
1.545000,30.080700,19.978587
1.550000,42.000000,22.180728
1.555000,47.391430,24.701798
1.560000,33.608570,25.592475
1.565000,43.217020,27.354930
1.570000,50.689150,29.688352
1.575000,53.922870,32.111804
1.580000,52.768090,34.177432
1.585000,50.244480,35.784137
1.590000,58.919300,38.097653
1.595000,52.080700,39.495958
1.600000,61.968270,41.743189
1.605000,65.391430,44.108013
1.610000,49.509000,44.648112
1.615000,57.217020,45.905003
1.620000,60.689150,47.383418
1.625000,62.000000,48.845076
1.630000,56.782980,49.638866
1.635000,52.310850,49.906065
1.640000,57.786130,50.694071
1.645000,47.934610,50.418125
1.650000,55.000000,50.876313
1.655000,55.322420,51.320923
1.660000,34.585450,49.647376
1.665000,39.131080,48.595746
1.670000,39.689150,47.705087
1.675000,38.000000,46.734578
1.680000,29.782980,45.039418
1.685000,22.310850,42.766561
1.690000,26.919300,41.181835
1.695000,16.080700,38.671722
1.700000,21.884030,36.992953
1.705000,22.391440,35.532801
1.710000,3.515408,32.331062
1.715000,9.058072,30.003763
1.720000,11.689150,28.172302
1.725000,12.000000,26.555072
1.730000,5.717689,24.471333
1.735000,-0.689153,21.955285
1.740000,5.919299,20.351686
1.745000,-3.125302,18.003987
1.750000,5.929445,16.796533
1.755000,7.445367,15.861416
1.760000,-9.386881,13.336587
1.765000,-1.782983,11.824630
1.770000,2.689153,10.911082
1.775000,4.000000,10.219974
1.780000,-0.207884,9.177188
1.785000,-4.689153,7.790554
1.790000,2.945833,7.306082
1.795000,-4.765394,6.098934
1.800000,4.000000,5.889041
1.805000,7.436314,6.043768
1.810000,-9.256070,4.513784
1.815000,-1.743948,3.888011
1.820000,2.749059,3.774116
1.825000,4.000000,3.796704
1.830000,-0.217017,3.395332
1.835000,-4.689153,2.586884
1.840000,2.919299,2.620125
1.845000,-4.919299,1.866183
1.850000,4.000000,2.079564
1.855000,7.537160,2.625324
1.860000,-9.391435,1.423648
1.865000,-1.718989,1.109384
1.870000,2.727684,1.271214
1.875000,4.000000,1.544093
1.880000,-0.217017,1.367982
1.885000,-4.689153,0.762268
1.890000,2.947893,0.980831
1.895000,-4.919299,0.390818
1.900000,4.076950,0.759431
1.905000,7.391435,1.422632
1.910000,-9.391435,0.341225
1.915000,-1.772350,0.129867
1.920000,2.800258,0.396906
1.925000,4.027542,0.759970
1.930000,-0.217017,0.662271
1.935000,-4.689153,0.127129
1.940000,3.047111,0.419127
1.945000,-4.826869,-0.105473
1.950000,4.000000,0.305075
1.955000,7.391435,1.013711
1.960000,-9.391435,-0.026804
1.965000,-1.748650,-0.198988
1.970000,2.689153,0.089826
1.975000,4.000000,0.480843
1.980000,-0.217017,0.411057
1.985000,-4.689153,-0.098964
1.990000,2.919299,0.202862
1.995000,-4.919299,-0.309354
2.000000,4.000000,0.121582
2.005000,7.391435,0.848567
2.010000,-9.316776,-0.167967
2.015000,-1.782983,-0.329469
2.020000,5.689153,0.272393
2.025000,9.966660,1.241820
2.030000,8.753195,1.992957
2.035000,6.310847,2.424746
2.040000,16.919300,3.874202
2.045000,10.041470,4.490929
2.050000,18.918300,5.933666
2.055000,22.340710,7.574370
2.060000,3.608565,7.177790
2.065000,10.217020,7.481713
2.070000,12.689150,8.002456
2.075000,11.951710,8.397382
2.080000,5.782983,8.135942
2.085000,0.310847,7.353432
2.090000,5.878133,7.205902
2.095000,-2.919299,6.193382
2.100000,5.964572,6.170501
2.105000,7.482264,6.301678
2.110000,-7.391435,4.932366
2.115000,0.217017,4.460831
2.120000,4.681686,4.482917
2.125000,6.000000,4.634625
2.130000,1.603617,4.331524
2.135000,-1.689153,3.729457
2.140000,5.919299,3.948441
2.145000,-1.919299,3.361667
2.150000,7.912514,3.816752
2.155000,11.251420,4.560218
2.160000,-5.654273,3.538769
2.165000,2.217017,3.406594
2.170000,6.689153,3.734850
2.175000,7.956567,4.157022
2.180000,3.782983,4.119618
2.185000,-0.752251,3.632431
2.190000,6.789171,3.948105
2.195000,-0.932868,3.460008
2.200000,11.000000,4.214007
2.205000,19.391440,5.731750
2.210000,11.608570,6.319432
2.215000,32.141650,8.901654
2.220000,54.537850,13.465274
2.225000,76.942330,19.812979
2.230000,91.647610,26.996442
2.235000,99.310840,34.227882
2.240000,108.909900,41.696084
2.245000,91.896400,46.716115
2.250000,82.000000,50.244504
2.255000,61.300190,51.350073
2.260000,18.608560,48.075921
2.265000,4.217017,43.690031
2.270000,-8.286923,38.492335
2.275000,-19.000000,32.743102
2.280000,-17.163720,27.752420
2.285000,-14.681660,23.509012
2.290000,-2.058084,20.952302
2.295000,-5.919299,18.265142
2.300000,4.065338,16.845162
2.305000,9.148515,16.075497
2.310000,-6.391435,13.828804
2.315000,0.217017,12.467625
2.320000,4.671086,11.687971
2.325000,6.000000,11.119174
2.330000,1.724433,10.179700
2.335000,-4.670878,8.694642
2.340000,2.919299,8.117108
2.345000,-4.803796,6.825017
2.350000,4.047994,6.547315
2.355000,7.530028,6.645586
2.360000,-9.391435,5.041884
2.365000,-1.782983,4.359398
2.370000,2.721483,4.195606
2.375000,4.145839,4.190629
2.380000,-0.217017,3.749865
2.385000,-4.689153,2.905963
2.390000,3.046974,2.920064
2.395000,-2.919299,2.336128
2.400000,5.980523,2.700567
2.405000,10.391430,3.469654
2.410000,-6.391435,2.483545
2.415000,2.217017,2.456892
2.420000,-0.310847,2.180118
2.425000,8.953280,2.857434
2.430000,4.758370,3.047528
2.435000,1.310847,2.873860
2.440000,9.903234,3.576797
2.445000,3.080701,3.527188
2.450000,12.967030,4.471172
2.455000,17.320850,5.756140
2.460000,1.608565,5.341382
2.465000,9.217017,5.728946
2.470000,14.689150,6.624966
2.475000,15.791610,7.541630
2.480000,12.768980,8.064365
2.485000,8.128494,8.070778
2.490000,15.919300,8.855630
2.495000,9.080701,8.878138
2.500000,19.000000,9.890324
2.505000,24.391440,11.340435
2.510000,9.608565,11.167248
2.515000,19.217020,11.972226
2.520000,25.684490,13.343452
2.525000,28.997150,14.908822
2.530000,27.782980,16.196238
2.535000,25.310850,17.107699
2.540000,34.873210,18.884250
2.545000,29.901970,19.986022
2.550000,41.771470,22.164567
2.555000,47.230180,24.671128
2.560000,33.509560,25.554971
2.565000,43.217020,27.321176
2.570000,50.612570,29.650316
2.575000,53.992470,32.084531
2.580000,52.782980,34.154376
2.585000,50.173230,35.756261
2.590000,58.835270,38.064162
2.595000,52.006760,39.458422
2.600000,61.920820,41.704662
2.605000,65.348510,44.069047
2.610000,49.608570,44.622999
2.615000,57.167270,45.877426
2.620000,60.689150,47.358598
2.625000,62.000000,48.822739
2.630000,56.782980,49.618763
2.635000,52.310850,49.887971
2.640000,57.919300,50.691104
2.645000,48.080700,50.430064
2.650000,54.842600,50.871317
2.655000,55.391430,51.323329
2.660000,34.484880,49.639484
2.665000,39.016940,48.577229
2.670000,39.569080,47.676415
2.675000,37.782810,46.687054
2.680000,29.670850,44.985434
2.685000,22.310850,42.717975
2.690000,26.872650,41.133443
2.695000,16.080700,38.628168
2.700000,22.000000,36.965352
2.705000,22.391440,35.507960
2.710000,3.594965,32.316661
2.715000,9.190060,30.004001
2.720000,11.611820,28.164783
2.725000,12.000000,26.548304
2.730000,5.635689,24.457043
2.735000,-0.773160,21.934023
2.740000,5.813376,20.321958
2.745000,-2.919299,17.997832
2.750000,6.000000,16.798049
2.755000,7.608188,15.879063
2.760000,-9.391435,13.352013
2.765000,-1.747308,11.842081
2.770000,2.689153,10.926788
2.775000,4.000000,10.234109
2.780000,-0.205679,9.190131
2.785000,-4.689153,7.802202
2.790000,2.925411,7.314523
2.795000,-4.841448,6.098926
2.800000,4.000000,5.889033
2.805000,7.391435,6.039274
2.810000,-9.391435,4.496203
2.815000,-1.782983,3.868284
2.820000,2.789038,3.760360
2.825000,4.000000,3.784324
2.830000,-0.176932,3.388198
2.835000,-4.689153,2.580463
2.840000,2.942199,2.616637
2.845000,-4.919299,1.863043
2.850000,4.000000,2.076739
2.855000,7.391435,2.608208
2.860000,-9.391435,1.408244
2.865000,-1.782983,1.089121
2.870000,2.697321,1.249941
2.875000,4.000000,1.524947
2.880000,-0.217017,1.350751
2.885000,-4.555297,0.760146
2.890000,2.919299,0.976061
2.895000,-4.919299,0.386525
2.900000,4.000000,0.747873
2.905000,7.391435,1.412229
2.910000,-9.297535,0.341253
2.915000,-1.782983,0.128829
2.920000,2.777310,0.393677
2.925000,4.023653,0.756675
2.930000,-0.217017,0.659305
2.935000,-4.689153,0.124460
2.940000,2.938034,0.405817
2.945000,-4.919299,-0.126695
2.950000,4.000000,0.285975
2.955000,7.391435,0.996521
2.960000,-9.336522,-0.036783
2.965000,-1.729817,-0.206087
2.970000,2.689153,0.083437
2.975000,4.083613,0.483455
2.980000,-0.217017,0.413408
2.985000,-4.689153,-0.096848
2.990000,3.043781,0.217215
2.995000,-4.919299,-0.296437
